Date_Requete,Ticker,PE_trailing,ForwardPE,PE_Ratio,Prevision croissance 5 ans,Performance_Moyenne_10ans
04/04/2026,AMZN,29.256624,22.332802,0.7633417307478813,11.75%,60.726075425784494
04/04/2026,ASML,46.089222,30.12371,0.6535955412742701,13.48%,133.50423455264965
04/04/2026,NVDA,36.20204,15.957576,0.44079217635249285,25.95%,2014.102477814932
04/04/2026,GOOG,27.239592,21.926062,0.8049335687553618,14.32%,69.66765186136158
04/04/2026,BKNG,632.6259,13.396347,0.021175780188575903,8.91%,23.33435329063806
04/04/2026,NEM.DE,36.610172,22.066412,0.6027399161085614,,37.11021218538929
04/04/2026,CRM,23.96671,12.571755,0.5245507205619795,9.98%,15.030288988279334
04/04/2026,INTU,27.46944,15.956352,0.5808764940239044,12.35%,33.48157243276175
04/04/2026,MA,29.85118,21.772684,0.7293743161911859,12.12%,45.1024670123867
04/04/2026,MSFT,23.370462,19.81789,0.8479887988521578,16.43%,66.57222162170872
04/04/2026,SPGI,29.410643,19.5285,0.6639943234155065,7.22%,38.1956946501529
04/04/2026,V,28.244131,20.688753,0.7324974168969829,10.51%,31.45706011582733
