Date_Requete,Ticker,PE_trailing,ForwardPE,PE_Ratio,Prevision croissance 5 ans,Performance_Moyenne_10ans
02/08/2025,AMZN,32.78626,34.918697,1.0650405688236475,10.07%,70.27587485357017
02/08/2025,ASML,25.066133,25.835955,1.0307116378900565,11.39%,67.60233596399068
02/08/2025,NVDA,56.220066,42.16505,0.7500000088936217,20.33%,3527.7804525398888
02/08/2025,GOOG,20.250532,21.223463,1.0480447130969202,11.11%,50.54374559548121
02/08/2025,BKNG,37.592754,25.667334,0.6827734408604382,8.48%,33.97152425856174
02/08/2025,NEM.DE,79.8773,66.09137,0.8274111668771978,,119.21869613899723
02/08/2025,CRM,39.239437,22.528301,0.5741239610547928,9.87%,24.916773440936296
02/08/2025,INTU,63.307507,34.91453,0.5515069484571553,13.60%,70.03366508293189
02/08/2025,MA,37.728436,34.18132,0.9059829567279173,,51.04350542867509
02/08/2025,MSFT,38.452675,35.057526,0.9117057785966777,12.45%,119.12766546350647
02/08/2025,SPGI,42.006157,32.460438,0.772754289329538,6.20%,49.45607732135866
02/08/2025,V,33.10732,26.804897,0.8096365697978574,,38.022831077836244
