Date_Requete,Ticker,PE_trailing,ForwardPE,PE_Ratio,Prevision croissance 5 ans,Performance_Moyenne_10ans
07/03/2026,AMZN,30.589672,22.846165,0.7468587763870106,11.75%,65.76759464760275
07/03/2026,ASML,47.616947,29.792158,0.6256629178682959,13.48%,139.04051793835092
07/03/2026,NVDA,37.43579,16.553408,0.44218134571221823,25.95%,2235.9676522503228
07/03/2026,GOOG,27.852472,22.22272,0.7978724473719963,14.32%,76.4656288918353
07/03/2026,BKNG,27.855228,14.532298,0.5217080973094171,8.91%,25.8938400147438
07/03/2026,NEM.DE,38.232044,28.134426,0.7358860018051873,,46.49738502397742
07/03/2026,CRM,25.845268,13.556105,0.5245101346985452,9.98%,19.020521222060275
07/03/2026,INTU,30.396084,18.226467,0.5996320776057863,12.35%,42.30249371801995
07/03/2026,MA,31.753191,23.08014,0.7268604909660891,12.12%,52.788682948302906
07/03/2026,MSFT,25.704588,21.704426,0.844379454749479,16.43%,81.0809068703268
07/03/2026,SPGI,30.772789,20.497892,0.6661044600149827,7.22%,42.740850276212036
07/03/2026,V,30.024597,21.84775,0.727661723486247,10.51%,37.3205033216036
