Date_Requete,Ticker,PE_trailing,ForwardPE,PE_Ratio,Prevision croissance 5 ans,Performance_Moyenne_10ans
18/04/2026,AMZN,34.945606,26.64639,0.7625104569656054,11.75%,68.87306151266151
18/04/2026,ASML,47.846607,30.501902,0.6374935217454396,13.48%,152.88284005816962
18/04/2026,NVDA,41.15918,17.94437,0.4359749149521443,25.95%,2218.434012215318
18/04/2026,GOOG,31.338873,25.246214,0.805587807832145,14.32%,79.27263684058065
18/04/2026,BKNG,29.004532,15.412375,0.5313781653156824,8.91%,26.131468342925103
18/04/2026,NEM.DE,39.124294,23.51491,0.6010309093373033,,36.85311068382135
18/04/2026,CRM,23.351282,12.180581,0.5216236521832077,9.98%,13.917962937229891
18/04/2026,INTU,25.192184,14.849626,0.589453697226092,12.35%,30.938814879013655
18/04/2026,MA,31.536598,23.006777,0.729526279277175,12.12%,46.63507832598869
18/04/2026,MSFT,26.309273,22.363321,0.8500166842314494,16.43%,75.10516104247193
18/04/2026,SPGI,30.209558,20.068525,0.6643104477066497,7.22%,38.11380658076796
18/04/2026,V,29.767136,21.789303,0.7319919188732165,10.51%,31.750655235731635
